,recording_id,waveform
0,000316da7,"[-0.00253296  0.00115967 -0.00454712 ... -0.0145874  -0.01644897
 -0.00396729]"
1,003bc2cb2,"[ 0.06234741 -0.02972412  0.00027466 ...  0.03140259 -0.00866699
 -0.02645874]"
2,0061c037e,"[-0.00512695 -0.00460815 -0.00811768 ... -0.01403809 -0.00253296
 -0.00946045]"
3,010eb14d3,"[-0.0244751   0.01168823  0.03973389 ...  0.02832031  0.01010132
 -0.02227783]"
4,011318064,"[ 0.00128174 -0.00222778  0.0020752  ...  0.00775146  0.00231934
  0.00582886]"
5,01307e693,"[ 0.00579834  0.00216675  0.01824951 ... -0.00595093 -0.00653076
 -0.0032959 ]"
6,013bd8b85,"[ 2.13012695e-02 -2.13623047e-04 -3.05175781e-05 ... -2.73742676e-02
 -2.72216797e-02 -2.29492188e-02]"
7,01812f522,"[ 0.00466919 -0.03509521  0.05151367 ... -0.00408936  0.00588989
 -0.0065918 ]"
8,019db5220,"[ 0.00637817  0.01055908  0.01190186 ... -0.00656128 -0.00531006
 -0.00042725]"
9,01bd97dd6,"[ 0.00335693  0.00338745 -0.00115967 ...  0.00418091  0.00588989
  0.00357056]"
10,01d36def5,"[-0.00299072 -0.00259399 -0.00308228 ...  0.00967407  0.00991821
  0.00799561]"
11,01fefebcb,"[ 1.70898438e-03 -3.05175781e-05  3.72314453e-03 ... -8.69750977e-03
 -5.82885742e-03 -7.62939453e-03]"
12,0208fec47,"[-0.00421143 -0.0027771  -0.00430298 ...  0.00045776  0.00253296
 -0.00408936]"
13,0232841d4,"[ 0.02764893  0.03146362  0.02352905 ... -0.00192261 -0.00579834
  0.00363159]"
14,02c30604d,"[ 0.00793457 -0.00354004  0.0140686  ...  0.00073242  0.00424194
 -0.0020752 ]"
15,02dbcc383,[0.13665771 0.16842651 0.1734314  ... 0.04000854 0.06494141 0.06661987]
16,0303dee3c,"[-0.01663208  0.00128174 -0.01852417 ... -0.02172852 -0.01104736
 -0.01269531]"
17,034f46152,"[ 0.00091553  0.00558472 -0.00015259 ...  0.00125122  0.00253296
  0.0017395 ]"
18,037460d90,"[ 0.01507568 -0.02285767  0.02359009 ...  0.0088501   0.01538086
 -0.02297974]"
19,039395460,"[ 0.00027466 -0.0010376  -0.006073   ... -0.00180054  0.00024414
  0.00161743]"
20,039892ae3,"[-0.00305176 -0.00341797 -0.00192261 ... -0.00326538  0.00177002
  0.00076294]"
21,03a06a709,[0.00378418 0.00314331 0.00344849 ... 0.00283813 0.00387573 0.00268555]
22,03a9a5b2a,"[-0.08248901 -0.0552063  -0.02557373 ...  0.11462402  0.14553833
  0.17044067]"
23,03d0c7428,"[ 0.01013184  0.01141357  0.01263428 ... -0.00881958 -0.00924683
 -0.00997925]"
24,03f5a4505,"[ 0.009552    0.0116272   0.01205444 ... -0.00289917 -0.0038147
  0.00311279]"
25,03f8931a1,"[ 0.00683594  0.00735474  0.00485229 ... -0.00424194 -0.00747681
 -0.00653076]"
26,04053cd3e,"[-0.02642822 -0.0241394  -0.02902222 ... -0.17044067 -0.18380737
 -0.1852417 ]"
27,040d4f0d5,[0.01455688 0.00524902 0.01034546 ... 0.00891113 0.0100708  0.00030518]
28,042a6c838,"[-0.02365112 -0.03335571 -0.0380249  ...  0.01953125  0.01766968
  0.01074219]"
29,044173e0d,"[ 0.00387573 -0.00439453 -0.00112915 ... -0.00091553  0.
 -0.00219727]"
30,04496d53a,"[-0.01019287 -0.0012207  -0.00268555 ...  0.00900269  0.00839233
  0.01092529]"
31,0465bce22,"[-0.00167847  0.00390625  0.00149536 ...  0.00088501  0.00146484
  0.00180054]"
32,047a7c4bf,"[6.59179688e-03 2.74658203e-03 7.99560547e-03 ... 3.87573242e-03
 3.05175781e-05 2.44140625e-03]"
33,048b0a17d,"[-0.00619507 -0.00296021 -0.00741577 ...  0.00091553  0.00024414
 -0.0012207 ]"
34,048b8700d,"[ 0.00274658  0.00076294  0.00238037 ... -0.00036621 -0.00036621
  0.00048828]"
35,04997b478,"[-0.03622437  0.00772095  0.0196228  ...  0.01147461 -0.06768799
 -0.02587891]"
36,04aa83271,"[-0.01660156 -0.0090332  -0.00671387 ...  0.01861572  0.01846313
  0.02508545]"
37,04aef0297,"[-0.02233887  0.01251221  0.02871704 ... -0.10610962 -0.11959839
 -0.12301636]"
38,04e21ba1b,[0.00253296 0.00323486 0.0017395  ... 0.00256348 0.00604248 0.01028442]
39,04f07f088,"[-0.08432007 -0.11239624 -0.1295166  ...  0.00592041  0.01278687
  0.01144409]"
40,052b35029,"[ 0.00961304  0.01779175  0.02484131 ... -0.00326538 -0.00518799
 -0.00045776]"
41,053f5fe34,"[-0.08758545 -0.04153442 -0.03027344 ...  0.01269531  0.01394653
 -0.00830078]"
42,059859ca1,"[-0.01849365 -0.00982666 -0.00665283 ... -0.00735474 -0.02719116
 -0.03771973]"
43,05d2c9fbc,"[-0.00823975 -0.00491333 -0.0065918  ... -0.00372314 -0.00405884
 -0.00231934]"
44,06011bbad,"[ 0.01370239  0.00164795  0.00790405 ...  0.00704956 -0.00076294
 -0.00195312]"
45,06355ced6,"[ 0.0039978  -0.00735474 -0.00888062 ...  0.00784302 -0.00524902
 -0.00192261]"
46,0637cd357,"[ 0.00091553  0.01205444  0.01879883 ...  0.02883911  0.03414917
 -0.01205444]"
47,06677c2a1,[0.02249146 0.01779175 0.01623535 ... 0.03112793 0.04229736 0.03649902]
48,06d3bbdd6,"[ 0.02365112  0.01376343  0.01223755 ... -0.00360107 -0.01342773
 -0.01504517]"
49,06ee4df67,[0.00653076 0.01080322 0.01171875 ... 0.00326538 0.00622559 0.01196289]
50,0724b938e,"[-0.0012207  -0.00305176 -0.00488281 ... -0.0027771   0.00283813
 -0.00479126]"
51,0728b2d37,"[ 0.00213623 -0.00064087 -0.0045166  ...  0.00366211  0.00393677
  0.00054932]"
52,0769cc41f,"[ 0.02282715 -0.02111816  0.00912476 ... -0.01586914 -0.02575684
  0.03811646]"
53,076d267e9,"[-0.03625488 -0.03118896 -0.02243042 ... -0.01876831 -0.01715088
 -0.02029419]"
54,07758f213,"[-9.46044922e-03 -4.27246094e-04 -6.10351562e-05 ... -9.15527344e-05
 -1.00708008e-03  1.49536133e-03]"
55,07d477123,"[-0.00057983  0.00439453  0.009552   ...  0.00466919  0.0015564
 -0.00839233]"
56,07e8a69a4,"[-0.00054932 -0.0005188   0.00534058 ... -0.00283813 -0.00012207
  0.00125122]"
57,0882a07d2,"[-0.00036621  0.00524902  0.01306152 ... -0.03866577 -0.04592896
 -0.04302979]"
58,08aaf51a8,[0.00238037 0.00149536 0.00878906 ... 0.00238037 0.00332642 0.0145874 ]
59,08b58f0b0,"[-0.00167847 -0.0032959  -0.0012207  ... -0.00469971 -0.00613403
 -0.006073  ]"
60,08c11ec6e,"[-0.00378418 -0.00164795 -0.00436401 ... -0.00369263 -0.0072937
 -0.00665283]"
61,090d27329,"[-0.00036621  0.00222778  0.00384521 ...  0.00784302  0.00796509
  0.00576782]"
62,0966a30a3,"[ 0.0043335  -0.0027771  -0.00720215 ... -0.02133179 -0.03488159
 -0.01577759]"
63,097c4f536,[0.00854492 0.01312256 0.01260376 ... 0.00341797 0.01095581 0.01419067]
64,099b55467,"[ 0.0072937   0.00631714  0.00668335 ... -0.00201416 -0.00076294
 -0.00616455]"
65,09cf1cd6b,"[-0.2383728  -0.35470581 -0.38555908 ...  0.05456543  0.06765747
  0.07144165]"
66,09ffed9c0,"[-0.00738525  0.01690674 -0.00222778 ... -0.00814819  0.00228882
  0.00469971]"
67,0a45adab2,"[-0.01513672 -0.01443481 -0.00915527 ... -0.02798462 -0.02862549
 -0.02658081]"
68,0a64c67f8,[0.01473999 0.0189209  0.01904297 ... 0.18569946 0.15087891 0.08139038]
69,0a6a36fb6,"[ 0.0093689   0.01107788  0.01831055 ... -0.00445557 -0.00204468
  0.00167847]"
70,0a930ca0f,[0.00585938 0.01293945 0.00549316 ... 0.00427246 0.00616455 0.00601196]
71,0ae65727d,"[ 0.0171814   0.01324463  0.00738525 ...  0.00045776 -0.00289917
  0.00164795]"
72,0b13e273c,"[-0.00350952 -0.00866699 -0.01055908 ...  0.01571655  0.00799561
  0.00927734]"
73,0b2d25d62,"[-0.01101685 -0.01443481  0.00958252 ...  0.0296936  -0.02203369
 -0.03607178]"
74,0b3cbd762,[0.01889038 0.03131104 0.04040527 ... 0.0255127  0.03164673 0.03216553]
75,0b42e54ab,[0.00216675 0.00137329 0.00372314 ... 0.0007019  0.00247192 0.0022583 ]
76,0b7f599cf,"[ 0.01416016  0.01412964  0.00750732 ... -0.00604248 -0.0083313
 -0.00595093]"
77,0ba908079,"[-0.00149536 -0.0027771  -0.00061035 ... -0.00927734 -0.00778198
  0.00561523]"
78,0baed3c67,"[-0.01376343 -0.01947021  0.00778198 ...  0.00238037  0.0007019
  0.00311279]"
79,0bcb177ea,"[ 3.32641602e-03  6.89697266e-03  6.10351562e-05 ... -6.53076172e-03
 -6.37817383e-03 -5.40161133e-03]"
80,0bd8a0e62,"[ 0.00045776  0.00335693  0.00912476 ... -0.00482178 -0.00543213
 -0.00195312]"
81,0be3a4baa,"[-0.00915527 -0.00039673 -0.00637817 ...  0.00189209  0.00189209
 -0.00024414]"
82,0c4d6a79e,"[ 0.00244141  0.00119019  0.0057373  ... -0.0071106  -0.00466919
 -0.00720215]"
83,0c5143157,"[ 0.01919556  0.02154541  0.00894165 ... -0.00338745  0.00628662
  0.01608276]"
84,0c7a15b50,"[ 0.00769043  0.00033569 -0.00180054 ...  0.08712769  0.04702759
  0.00067139]"
85,0cbcff74d,"[ 0.01422119  0.00888062  0.01333618 ... -0.00402832 -0.00924683
 -0.00332642]"
86,0cc9654d3,"[ 0.00976562  0.00598145 -0.00021362 ... -0.00030518 -0.0038147
  0.00195312]"
87,0ce6c3971,"[ 0.00167847 -0.00384521  0.00601196 ...  0.00057983 -0.00109863
  0.00411987]"
88,0cff61a28,"[-0.00067139  0.00595093  0.00671387 ... -0.02023315 -0.01278687
 -0.01251221]"
89,0d2419e0e,"[ 0.07818604  0.10702515  0.09902954 ... -0.69006348 -0.90057373
  0.99041748]"
