,sample_rate,species_id,waveform
0,48000.0,14.0,"[ 0.00167847  0.00671387 -0.00292969 ... -0.00250244 -0.00216675
  0.00085449]"
1,48000.0,23.0,"[ 0.02120972  0.01831055  0.01879883 ... -0.00357056 -0.00253296
 -0.00430298]"
2,48000.0,12.0,"[-0.01144409 -0.00039673  0.015625   ... -0.03564453 -0.02871704
 -0.02062988]"
3,48000.0,17.0,"[ 0.00085449  0.00195312  0.0043335  ... -0.00238037  0.00100708
 -0.00033569]"
4,48000.0,10.0,"[ 0.00097656  0.00289917  0.00079346 ...  0.          0.00665283
 -0.00183105]"
5,48000.0,8.0,"[ 0.02597046  0.01211548 -0.00067139 ...  0.02920532  0.04562378
  0.05944824]"
6,48000.0,0.0,"[-0.00653076 -0.01443481 -0.01846313 ... -0.012146   -0.01113892
 -0.01034546]"
7,48000.0,18.0,[0.07388306 0.09100342 0.11325073 ... 0.00958252 0.0289917  0.02023315]
8,48000.0,15.0,"[ 0.00366211  0.00372314 -0.00082397 ... -0.00143433  0.00170898
 -0.00042725]"
9,48000.0,1.0,"[ 0.02520752  0.01461792  0.0211792  ...  0.01470947 -0.02450562
 -0.0267334 ]"
10,48000.0,6.0,"[-0.00253296  0.00393677  0.0012207  ... -0.00195312 -0.0012207
 -0.00079346]"
11,48000.0,10.0,"[-0.00732422 -0.00408936 -0.0071106  ...  0.00350952  0.00170898
  0.00305176]"
12,48000.0,7.0,"[-0.00692749 -0.00595093  0.00091553 ...  0.00177002 -0.00308228
 -0.00079346]"
13,48000.0,0.0,[0.08309937 0.07669067 0.06072998 ... 0.1864624  0.15255737 0.10601807]
14,48000.0,11.0,"[-0.00210571  0.02435303  0.01141357 ... -0.00457764 -0.0038147
  0.01464844]"
15,48000.0,11.0,"[ 0.00125122 -0.00210571  0.00396729 ...  0.00305176 -0.00039673
 -0.00106812]"
16,48000.0,13.0,"[-0.01690674  0.00778198 -0.00283813 ...  0.10250854  0.09820557
  0.09585571]"
17,48000.0,12.0,"[-0.02566528 -0.01403809 -0.00021362 ...  0.01043701  0.00698853
  0.0027771 ]"
18,48000.0,16.0,"[-0.05316162 -0.06726074 -0.07269287 ... -0.01724243  0.0032959
 -0.00292969]"
19,48000.0,16.0,"[ 0.00985718 -0.0385437   0.0473938  ...  0.0218811  -0.00506592
 -0.00100708]"
20,48000.0,16.0,"[ 0.00497437 -0.00442505 -0.00131226 ...  0.01596069  0.01345825
 -0.00717163]"
21,48000.0,0.0,"[ 0.02151489  0.01522827 -0.00930786 ... -0.06799316 -0.074646
 -0.07653809]"
22,48000.0,18.0,"[ 0.00048828  0.00515747  0.01660156 ... -0.00231934 -0.00845337
 -0.00350952]"
23,48000.0,19.0,"[ 0.00286865 -0.00198364 -0.00796509 ...  0.00735474 -0.00054932
 -0.00595093]"
24,48000.0,17.0,"[-0.00012207  0.00247192 -0.0032959  ... -0.00192261  0.00140381
  0.00241089]"
25,48000.0,7.0,"[ 0.00094604 -0.00045776 -0.00125122 ...  0.00216675  0.00222778
  0.00088501]"
26,48000.0,6.0,"[-0.00027466  0.00039673 -0.00036621 ... -0.00695801 -0.00469971
  0.00073242]"
27,48000.0,3.0,"[-0.00515747  0.00085449  0.00881958 ... -0.00384521 -0.00369263
  0.00506592]"
28,48000.0,23.0,"[-0.01913452 -0.0223999  -0.0168457  ...  0.02212524  0.01721191
  0.01889038]"
29,48000.0,23.0,"[ 0.01617432  0.01263428  0.01092529 ... -0.03012085 -0.03256226
 -0.0305481 ]"
